DAY_OF_MONTH,ORIGIN,DEST,DEP_TIME,ARR_TIME
13,STL,ORD,2301,2357
13,STL,SFO,2252,0047
13,SAT,STL,1821,2028
13,STL,DAY,1915,2120
13,STL,ANC,1915,2301
13,SEA,STL,1622,2200
13,STL,BWI,2327,0224
13,STL,MCI,1809,1906
13,STL,CMH,1846,2101
13,STL,MSP,1821,1941
13,TPA,STL,1845,1952
13,SGF,STL,1641,1731
13,STL,PIT,2049,2322
13,CMH,STL,2138,2159
13,DAY,STL,1930,1937
13,STL,LAS,2350,0115
13,STL,SFO,2234,0038
13,STL,BWI,1732,2024
13,STL,PHX,2123,2226
13,CMH,STL,2020,2102
13,STL,PIT,2138,0010
13,STL,MCI,1707,1824
13,LNK,STL,1927,2043
13,STL,SAT,2213,0007
13,STL,TPA,1921,2236
13,STL,DTW,1621,1841
13,STL,LIT,1754,1851
13,BWI,STL,2103,2206
13,ATL,STL,1829,1853
13,STL,CMH,2153,0008
13,STL,MCO,2015,2324
13,STL,DAY,1647,1853
13,MSP,STL,1924,2042
13,STL,DTW,1938,2158
13,STL,SNA,2021,2217
13,STL,BDL,2034,2352
13,STL,FSD,2128,2301
13,STL,ATL,2120,2339
13,STL,DTW,2230,0049
13,STL,MKE,1959,2103
13,STL,MSP,1855,2028
13,OMA,STL,1922,2026
13,STL,IAD,2328,0217
13,STL,MCI,2057,2202
13,STL,TPA,2131,0041
13,DTW,STL,1905,1941
13,IND,STL,2029,2127
13,STL,SEA,2154,2343
13,STL,MSY,2338,0112
13,MSY,STL,1850,2030
13,DFW,STL,2059,2232
13,STL,BDL,1639,1955
13,TUL,STL,1926,2033
13,STL,JAX,2252,0144
13,PHX,STL,1350,1850
13,STL,TUL,2308,0019
13,STL,IND,1840,1933
13,STL,BNA,2151,2248
13,OKC,STL,2054,2214
13,MCI,STL,1933,2101
13,STL,PHL,2144,0043
13,SDF,STL,1905,1915
13,ANC,STL,0014,0901
13,STL,RSW,1908,2229
13,STL,CID,2147,2250
13,JAX,STL,1759,1906
13,STL,OMA,2308,0015
13,SFO,STL,1729,2307
13,STL,MIA,2107,0032
13,STL,OKC,2028,2150
13,STL,DSM,2051,2208
13,SLC,STL,1450,1825
